x,y,z,type,is_movable
523.5,-75.11000000000001,0.0,other_tissue,0
-244.29000000000002,-312.46000000000004,0.0,CD8_Tcell,1
-424.04,549.4658,0.0,epithelial_tumor_class1,1
-78.63,-304.03999999999996,0.0,CAF,1
254.52999999999997,-120.5,0.0,CD8_Tcell,1
379.98,506.2,0.0,other_tissue,0
192.76999999999998,55.79000000000002,0.0,epithelial_tumor_class1,1
299.84000000000003,-83.53999999999996,0.0,CAF,1
-378.93,22.789999999999964,0.0,CAF,1
-71.62,27.75,0.0,CAF,1
295.02,88.08999999999997,0.0,other_tissue,0
388.20000000000005,-201.30999999999995,0.0,other_tissue,0
199.25,160.57,0.0,other_tissue,0
356.71000000000004,-217.02999999999997,0.0,other_tissue,0
520.9000000000001,133.56,0.0,other_tissue,0
-284.75,447.64,0.0,other_tissue,0
-484.98,473.13,0.0,CAF,1
248.57000000000005,-338.21000000000004,0.0,epithelial_normal,1
224.74,-251.95000000000005,0.0,other_tissue,0
-188.06,-418.85,0.0,other_tissue,0
-414.63,-511.5,0.0,CD8_Tcell,1
-256.71,391.59000000000003,0.0,CAF,1
-498.90999999999997,470.51,0.0,CAF,1
285.03,-521.0999999999999,0.0,other_tissue,0
-177.54000000000002,-244.07000000000005,0.0,other_tissue,0
-434.88,503.36,0.0,CAF,1
236.45000000000005,-175.71000000000004,0.0,other_tissue,0
211.87,-227.45000000000005,0.0,other_tissue,0
497.0,299.45,0.0,other_tissue,0
470.20000000000005,-478.5,0.0,epithelial_tumor_class1,1
-420.6,-87.48000000000002,0.0,mesenchymal_tumor_class1,1
201.89,451.19,0.0,epithelial_tumor_class1,1
-7.17999999999995,-444.95000000000005,0.0,other_tissue,0
141.66999999999996,171.42000000000002,0.0,CAF,1
-60.910000000000025,525.03,0.0,other_tissue,0
192.02999999999997,-426.87,0.0,other_tissue,0
94.36000000000001,-442.27,0.0,other_tissue,0
-410.78999999999996,-421.58000000000004,0.0,other_tissue,0
122.84000000000003,75.64999999999998,0.0,epithelial_normal,1
288.13,-207.69000000000005,0.0,other_tissue,0
-324.46000000000004,456.33,0.0,mesenchymal_tumor_class1,1
188.30999999999995,421.7,0.0,epithelial_normal,1
-459.51,-507.5999999999999,0.0,other_tissue,0
-283.08,19.960000000000036,0.0,CAF,1
417.1,131.47000000000003,0.0,other_tissue,0
295.70000000000005,241.14,0.0,other_tissue,0
-168.94,187.67000000000002,0.0,CD4_Tcell,1
-87.19,-63.00999999999999,0.0,CAF,1
-482.39,-287.83000000000004,0.0,epithelial_normal,1
427.32000000000005,-90.80999999999995,0.0,CD4_Tcell,1
-166.95,223.0,0.0,CAF,1
152.89,-368.30999999999995,0.0,apCAF,1
-398.78,-133.79999999999995,0.0,epithelial_tumor_class1,1
-461.64,295.73,0.0,CD8_Tcell,1
125.45000000000005,-380.9,0.0,other_tissue,0
341.49,-224.92999999999995,0.0,other_tissue,0
259.70000000000005,-191.5,0.0,epithelial_normal,1
-63.95999999999998,329.15999999999997,0.0,CAF,1
103.64999999999998,-381.01,0.0,other_tissue,0
-500.37,-531.5,0.0,CAF,1
361.26,-384.70000000000005,0.0,other_tissue,0
104.10000000000002,46.5,0.0,other_tissue,0
145.01,420.98,0.0,other_tissue,0
-489.67,-488.20000000000005,0.0,other_tissue,0
-115.17000000000002,538.84,0.0,epithelial_tumor_class1,1
-16.450000000000045,-283.71000000000004,0.0,CAF,1
299.33000000000004,-107.72000000000003,0.0,other_tissue,0
-124.57999999999998,-108.04999999999995,0.0,other_tissue,0
-127.89999999999998,168.72000000000003,0.0,other_tissue,0
376.70000000000005,442.65,0.0,mesenchymal_tumor_class1,1
-193.31,435.32,0.0,mesenchymal_tumor_class1,1
-143.14999999999998,98.26999999999998,0.0,epithelial_normal,1
-188.76999999999998,221.07999999999998,0.0,other_tissue,0
274.26,-419.97,0.0,apCAF,1
61.960000000000036,542.206,0.0,CD4_Tcell,1
84.66999999999996,-410.85,0.0,other_tissue,0
155.14999999999998,-54.73000000000002,0.0,other_tissue,0
-385.53,-388.77,0.0,other_tissue,0
-451.11,99.66000000000003,0.0,epithelial_tumor_class1,1
208.78999999999996,140.86,0.0,other_tissue,0
18.110000000000014,-173.30999999999995,0.0,other_tissue,0
184.04999999999995,-44.25999999999999,0.0,other_tissue,0
487.20000000000005,500.21,0.0,CD8_Tcell,1
-188.39999999999998,133.3,0.0,other_tissue,0
-131.10000000000002,276.83,0.0,other_tissue,0
493.0,-110.61000000000001,0.0,other_tissue,0
