x,y,z,type,is_movable,volume
-231.68,58.389999999999986,0.0,CD4_Tcell,1,934.2725962642246
-545.946,136.07,0.0,CD8_Tcell,1,683.8587151916207
63.809999999999945,-47.940000000000055,0.0,CD8_Tcell,1,527.3461755335617
432.53999999999996,316.03,0.0,other_tissue,0,665.4271552636371
368.04999999999995,498.27,0.0,epithelial_tumor_class1,1,1523.3190060750328
473.79999999999995,303.31,0.0,CD8_Tcell,1,914.5627316009399
-458.26,141.47000000000003,0.0,CD4_Tcell,1,873.6783127417987
370.25,454.08,0.0,CAF,1,654.3574991723395
416.51,499.45,0.0,other_tissue,0,908.7102510618517
76.23000000000002,284.7,0.0,epithelial_tumor_class1_class2,1,820.3095008866169
477.0,526.4,0.0,mesenchymal_tumor_class1,1,1596.536145111477
-408.02,541.293,0.0,epithelial_tumor_class1,1,698.52678305538
-435.49,-69.88999999999999,0.0,other_tissue,0,588.2641324588575
-392.18,155.97000000000003,0.0,other_tissue,0,521.1834726432825
-417.89,245.69,0.0,apCAF,1,1015.3816879657646
27.470000000000027,-142.25,0.0,apCAF,1,165.2470866259757
-72.12,-114.38,0.0,CAF,1,629.4569947490676
-271.85,-11.879999999999995,0.0,CD4_Tcell,1,1234.2431379972002
484.29999999999995,-29.659999999999968,0.0,other_tissue,0,439.92255243304993
358.12,-395.9,0.0,mesenchymal_tumor_class1,1,1436.7550402417319
-265.19,295.49,0.0,CD8_Tcell,1,1292.2735160713726
-67.62,439.65999999999997,0.0,CD8_Tcell,1,697.233133063945
207.52999999999997,389.53,0.0,mesenchymal_tumor_class1,1,1596.536145111477
-421.78999999999996,170.31,0.0,mesenchymal_tumor_class1,1,601.7773547323344
146.23000000000002,466.18,0.0,CD4_Tcell,1,899.3833915022731
26.059999999999945,185.32999999999998,0.0,CD8_Tcell,1,1078.3430991944601
81.34000000000003,45.98000000000002,0.0,mesenchymal_tumor_class1,1,687.0543407876823
543.8,329.75,0.0,CD4_Tcell,1,551.2301307305419
-251.85000000000002,237.29000000000002,0.0,epithelial_tumor_class1,1,1022.9975087728606
366.36,174.37,0.0,CAF,1,547.9529669430011
423.61,541.692,0.0,mesenchymal_tumor_class1,1,694.6695923601345
-177.70999999999998,-158.04999999999995,0.0,other_tissue,0,608.194214620087
263.40999999999997,453.7,0.0,apCAF,1,264.51957324708343
463.79999999999995,-424.48,0.0,mesenchymal_tumor_class1,1,1027.0534738055865
-80.06,-374.47,0.0,mesenchymal_tumor_class1_class2,1,727.2369793166275
502.5,-413.79999999999995,0.0,mesenchymal_tumor_class1_class2,1,232.69883159272962
-257.86,54.360000000000014,0.0,CD4_Tcell,1,773.8988082709583
322.80999999999995,523.59,0.0,epithelial_tumor_class1_class2,1,927.6101687167852
