x,y,z,type,is_movable,volume
-407.74,-425.78,0.0,CD4_Tcell,1,651.7002746791709
447.76,-385.69000000000005,0.0,mesenchymal_tumor_class1,1,826.0650691063812
450.08000000000004,-370.90999999999997,0.0,CD4_Tcell,1,1161.0139318463189
327.63,-159.57000000000005,0.0,epithelial_tumor_class1_class2,1,1889.5017318950981
350.65,-240.85000000000002,0.0,other_tissue,0,950.2615281038098
246.26999999999998,399.54,0.0,epithelial_tumor_class1_class2,1,734.5550737981736
-469.99,-342.15999999999997,0.0,epithelial_tumor_class1,1,1167.285984802169
339.71000000000004,-454.48,0.0,mesenchymal_tumor_class1_class2,1,337.5895885865998
-336.65,-25.75999999999999,0.0,CD8_Tcell,1,698.4887117054712
196.19000000000005,-331.53,0.0,other_tissue,0,948.5331008146752
-225.70999999999998,-372.04999999999995,0.0,CD8_Tcell,1,1564.6947049891357
328.49,-320.29999999999995,0.0,CD4_Tcell,1,432.03983812897485
-371.81,-95.86000000000001,0.0,mesenchymal_tumor_class1_class2,1,493.00312188258613
-402.15999999999997,-27.190000000000055,0.0,CD8_Tcell,1,494.02994923038204
307.91999999999996,-474.28,0.0,mesenchymal_tumor_class1_class2,1,293.7096408069469
-117.16000000000003,-299.98,0.0,epithelial_tumor_class1,1,1380.5173181664818
329.83000000000004,-371.77,0.0,CD8_Tcell,1,415.49349098798126
-425.78,-477.94000000000005,0.0,CD8_Tcell,1,1390.825624591588
408.15999999999997,86.35000000000002,0.0,other_tissue,0,661.270699786704
321.94000000000005,-224.72000000000003,0.0,CAF,1,1031.30006184582
-127.42000000000002,235.06,0.0,CD4_Tcell,1,1161.0139318463189
324.09000000000003,-418.21000000000004,0.0,apCAF,1,672.2323976618787
260.48,277.81,0.0,epithelial_tumor_class1,1,1053.3909427820806
435.77,-301.95000000000005,0.0,other_tissue,0,858.1915614945212
-266.03999999999996,-320.53,0.0,CD4_Tcell,1,893.5160091208938
230.09000000000003,420.56,0.0,epithelial_tumor_class1,1,1592.9559951123524
16.110000000000014,246.0,0.0,other_tissue,0,464.4202691562567
-372.07,-215.72000000000003,0.0,CD4_Tcell,1,982.0915960440977
-55.44,-213.5,0.0,epithelial_tumor_class1,1,1276.0354594150156
344.35,98.11000000000001,0.0,other_tissue,0,786.934175195315
-407.53,-240.55999999999995,0.0,other_tissue,0,1013.7317143848825
-166.52999999999997,282.11,0.0,mesenchymal_tumor_class1,1,1283.902815065974
420.36,-400.55999999999995,0.0,CD4_Tcell,1,747.9028554285695
-124.17000000000002,-30.889999999999986,0.0,epithelial_tumor_class1,1,1048.2674954980318
262.23,-249.69000000000005,0.0,CAF,1,474.5126258128961
431.78,-129.62,0.0,CD4_Tcell,1,651.972945008965
236.51999999999998,-322.32000000000005,0.0,epithelial_tumor_class1,1,1491.435891335774
-344.11,-251.88,0.0,epithelial_tumor_class1,1,1412.9655901442468
-473.55,-315.1,0.0,epithelial_tumor_class1_class2,1,522.1219062375662
82.20000000000005,-295.63,0.0,other_tissue,0,718.4730710424614
-40.5,-152.21000000000004,0.0,CD4_Tcell,1,536.1542309465143
-70.91000000000003,-90.07000000000005,0.0,other_tissue,0,1013.7317143848825
363.69000000000005,-156.36,0.0,epithelial_tumor_class1,1,1039.1120106828268
-214.11,-442.32000000000005,0.0,epithelial_tumor_class1,1,1226.1505354815072
31.75,-85.38,0.0,epithelial_tumor_class1_class2,1,1068.254847696949
57.190000000000055,-129.84000000000003,0.0,other_tissue,0,861.339815448875
-431.62,-152.24,0.0,epithelial_tumor_class1,1,576.477507292622
-363.32,-487.83000000000004,0.0,epithelial_tumor_class1_class2,1,985.3921519563963
207.51,324.14,0.0,other_tissue,0,811.189952734663
455.72,-436.03,0.0,epithelial_tumor_class1,1,3058.108903697471
286.26,444.42,0.0,other_tissue,0,466.8170286214715
482.22,-423.78,0.0,mesenchymal_tumor_class1_class2,1,589.1813134366026
83.65999999999997,334.28999999999996,0.0,other_tissue,0,797.7001444371502
190.69000000000005,-68.26999999999998,0.0,other_tissue,0,1013.7317143848825
53.77999999999997,-418.04999999999995,0.0,other_tissue,0,431.8602187671867
35.48000000000002,-96.99000000000001,0.0,epithelial_tumor_class1,1,2563.1005329984937
-203.27999999999997,-203.65999999999997,0.0,apCAF,1,436.0596903273905
412.21000000000004,359.07,0.0,other_tissue,0,752.0344649951072
-7.439999999999998,14.230000000000018,0.0,CD8_Tcell,1,1564.6947049891357
0.040000000000020464,-388.46000000000004,0.0,other_tissue,0,746.0515623049585
-104.24000000000001,355.24,0.0,CD4_Tcell,1,962.7965193327412
221.77999999999997,160.44,0.0,other_tissue,0,742.8340294610313
37.51999999999998,-146.88,0.0,mesenchymal_tumor_class1_class2,1,776.3880579906602
374.57000000000005,314.32,0.0,other_tissue,0,697.3852442106197
195.85000000000002,200.25,0.0,other_tissue,0,471.98696151477117
-317.15,-371.94000000000005,0.0,other_tissue,0,594.2941281251806
-362.65999999999997,-190.35000000000002,0.0,epithelial_tumor_class1,1,830.3085822907698
-347.14,64.07,0.0,mesenchymal_tumor_class1_class2,1,1408.8288670462075
217.71000000000004,-171.70000000000005,0.0,CAF,1,539.4963901189678
-342.98,86.92000000000002,0.0,other_tissue,0,1013.7317143848825
-38.120000000000005,-310.01,0.0,CD4_Tcell,1,1059.2092911716911
356.21000000000004,-388.11,0.0,CAF,1,672.6778222910784
336.5,209.81,0.0,epithelial_tumor_class1,1,607.8471345451703
-363.75,-27.840000000000032,0.0,other_tissue,0,399.15221152152554
464.64,399.5,0.0,epithelial_tumor_class1,1,934.6654941210056
-287.76,-35.0,0.0,CD8_Tcell,1,801.6999566629032
-136.89999999999998,-384.15999999999997,0.0,epithelial_tumor_class1,1,1110.284351716856
-419.40999999999997,50.339999999999975,0.0,other_tissue,0,1013.7317143848825
355.34000000000003,317.86,0.0,other_tissue,0,836.8835712531255
255.96000000000004,-63.60000000000002,0.0,mesenchymal_tumor_class1,1,1636.7807387801724
288.30999999999995,-493.21000000000004,0.0,other_tissue,0,1013.7317143848825
271.71000000000004,450.75,0.0,epithelial_tumor_class1,1,2061.318079162064
-78.43,-76.52999999999997,0.0,epithelial_tumor_class1,1,2247.1853412541777
-139.95,-274.57000000000005,0.0,other_tissue,0,688.9764862712935
-117.04000000000002,-471.85,0.0,other_tissue,0,1013.7317143848825
-233.2,-212.13,0.0,epithelial_tumor_class1,1,1119.644063956204
-474.08,-134.34000000000003,0.0,other_tissue,0,477.6971317899388
345.61,226.12,0.0,epithelial_tumor_class1,1,839.2908781828019
-122.33999999999997,-288.03999999999996,0.0,CD8_Tcell,1,816.1846220255046
412.99,115.82999999999998,0.0,other_tissue,0,713.7313499216341
-282.2,-59.52999999999997,0.0,CAF,1,506.78599298346256
-444.74,-434.11,0.0,epithelial_tumor_class1,1,808.3540185383836
-259.27,-208.33000000000004,0.0,other_tissue,0,722.2620682564253
-477.61,-146.21000000000004,0.0,CAF,1,690.864419621154
105.94000000000005,339.62,0.0,other_tissue,0,602.1048791856117
253.13,-152.38,0.0,other_tissue,0,982.1393774763957
448.28,-74.10000000000002,0.0,other_tissue,0,562.2099043550842
341.66999999999996,-426.52,0.0,other_tissue,0,560.1535424450964
-420.45,-202.41999999999996,0.0,other_tissue,0,1013.7317143848825
6.149999999999977,264.19,0.0,epithelial_tumor_class1,1,1077.6058893814757
298.48,-66.03999999999996,0.0,other_tissue,0,1013.7317143848825
96.5,127.08999999999997,0.0,epithelial_tumor_class1_class2,1,630.3987191634162
-93.61000000000001,-246.57000000000005,0.0,epithelial_tumor_class1_class2,1,1068.254847696949
245.84000000000003,241.83999999999997,0.0,epithelial_tumor_class1,1,998.764960967144
-239.91000000000003,-197.98000000000002,0.0,epithelial_tumor_class1,1,1085.9891468882
261.75,-126.88999999999999,0.0,epithelial_tumor_class1,1,1980.3538378013714
-192.54000000000002,-182.41999999999996,0.0,other_tissue,0,872.5076360867743
389.92999999999995,159.14999999999998,0.0,other_tissue,0,574.2695313145832
-376.64,32.01999999999998,0.0,other_tissue,0,1013.7317143848825
-255.24,-480.83000000000004,0.0,epithelial_tumor_class1,1,835.6816459139659
367.98,-442.35,0.0,other_tissue,0,476.25054977809555
141.98000000000002,397.34000000000003,0.0,mesenchymal_tumor_class1_class2,1,684.8915072995272
-327.18,-181.96000000000004,0.0,mesenchymal_tumor_class1_class2,1,425.46806254357296
238.26,-85.27999999999997,0.0,apCAF,1,781.2184665623548
309.65999999999997,-88.52999999999997,0.0,other_tissue,0,1013.7317143848825
-208.82999999999998,-233.30999999999995,0.0,other_tissue,0,806.0062661330209
236.94000000000005,-267.99,0.0,epithelial_tumor_class1,1,2054.3938651168146
423.29999999999995,-173.80999999999995,0.0,other_tissue,0,933.2331040408461
-220.43,38.43000000000001,0.0,other_tissue,0,677.1988332633816
328.66999999999996,-464.21000000000004,0.0,mesenchymal_tumor_class1,1,634.8534815524893
-209.94,-273.85,0.0,other_tissue,0,418.09740095001297
-86.01999999999998,-191.85000000000002,0.0,other_tissue,0,558.7744880459485
400.09000000000003,117.66000000000003,0.0,other_tissue,0,1013.7317143848825
-161.56,216.04000000000002,0.0,apCAF,1,1046.8878977541785
435.12,-430.78999999999996,0.0,epithelial_tumor_class1_class2,1,1113.502339564086
442.29999999999995,210.2,0.0,other_tissue,0,777.1849261816909
-146.73000000000002,-0.8000000000000114,0.0,other_tissue,0,1013.7317143848825
238.91999999999996,-62.65999999999997,0.0,mesenchymal_tumor_class1_class2,1,1283.902815065974
198.97000000000003,-33.110000000000014,0.0,other_tissue,0,1013.7317143848825
-465.94,-231.69000000000005,0.0,CD8_Tcell,1,564.9154757738116
442.90999999999997,-126.25999999999999,0.0,CD8_Tcell,1,1047.7435946048242
376.70000000000005,283.51,0.0,CD8_Tcell,1,640.3525769841863
-481.74,36.01999999999998,0.0,other_tissue,0,709.5874743591603
-311.77,-25.539999999999964,0.0,mesenchymal_tumor_class1,1,1408.8288670462075
260.22,-76.89999999999998,0.0,mesenchymal_tumor_class1,1,1466.6079134485594
117.54999999999995,-182.95000000000005,0.0,mesenchymal_tumor_class1_class2,1,264.11126676828997
281.76,-413.14,0.0,mesenchymal_tumor_class1_class2,1,337.5895885865998
-214.44,118.69999999999999,0.0,other_tissue,0,1013.7317143848825
197.28999999999996,325.85,0.0,other_tissue,0,856.0751927200646
-446.07,-126.05999999999995,0.0,other_tissue,0,442.4027860913996
17.17999999999995,-106.60000000000002,0.0,other_tissue,0,1013.7317143848825
-216.32999999999998,-379.73,0.0,epithelial_tumor_class1,1,1763.6139315798614
47.440000000000055,-12.389999999999986,0.0,other_tissue,0,667.7520151206909
-44.52999999999997,-193.73000000000002,0.0,CAF,1,604.2971740451477
-36.44,-230.54999999999995,0.0,CD8_Tcell,1,746.4892264252841
429.32000000000005,-259.36,0.0,CD8_Tcell,1,1106.58098982026
