x,y,z,type
-219.26519292013586,130.61629942206412,0.0,apCAF
-629.8798235000785,0.8757447704647348,0.0,apCAF
-628.7354746167126,-704.9808977178584,0.0,apCAF
-400.00874155397014,-749.6422916381076,0.0,apCAF
-684.6496325567257,-751.3906024321387,0.0,apCAF
-266.6444154383789,-784.2890434554569,0.0,apCAF
762.8881299630671,406.27723043729634,0.0,apCAF
-466.73063894799367,-37.45994282229003,0.0,apCAF
-701.2903725690036,90.53230103527812,0.0,apCAF
-620.2164329294338,-7.70687185477891,0.0,apCAF
593.5721764283996,-532.5497722229177,0.0,apCAF
122.49777984396314,681.9222677180373,0.0,apCAF
670.7203636486452,-14.382240341079523,0.0,apCAF
-324.7836962071588,-638.6086624826411,0.0,apCAF
115.07540583657669,-636.6378394057333,0.0,apCAF
-612.3490343562938,-574.0642067139108,0.0,apCAF
-402.5835265415432,-743.9046534867874,0.0,apCAF
114.5827000673496,460.9516770869966,0.0,apCAF
713.9831089336694,-372.5475471000888,0.0,CAF
120.4315943601083,106.2035232435934,0.0,CAF
119.98656979435509,447.71219625583353,0.0,CAF
-442.2860753005406,712.0567883133372,0.0,CAF
734.8992635240782,384.01010841513653,0.0,CAF
181.33638493035562,532.6801008457455,0.0,CAF
165.66516272204058,583.5559449520506,0.0,CAF
735.9005687970232,316.4140556240973,0.0,CAF
794.1828931762238,332.94353949493666,0.0,CAF
192.39842413622523,501.3853376325885,0.0,CAF
202.23664578627313,650.75465438081,0.0,CAF
136.1346040374059,569.2992651134514,0.0,CAF
-550.0455951508216,-299.5635183165355,0.0,CAF
714.2691961545108,339.316927025905,0.0,CAF
697.3105814524092,-718.6495093802835,0.0,CAF
655.9074031028545,220.44768676628053,0.0,CAF
673.9785792193395,-686.2421847527432,0.0,CAF
603.4580792819211,172.09894644407507,0.0,CAF
669.1627776685084,-340.1720099415309,0.0,CAF
-536.170364940011,-319.3035365545959,0.0,CAF
756.0220366628721,-637.4325261302929,0.0,CAF
322.45685347764856,-607.870179976676,0.0,CAF
