x,y,z,type,volume,cycle entry,custom:GFP,custom:sample,is_movable
-386.4584426155377,408.66238581893833,0.0,CAF,,,,,1
-508.5756534322149,496.19878809803754,0.0,CAF,,,,,1
-378.07190015374874,435.0357239757619,0.0,CAF,,,,,1
-351.09170661119657,425.8234602514244,0.0,CAF,,,,,1
-334.0400651171204,-181.4497603328208,0.0,CAF,,,,,1
391.1023785837025,455.4399927647644,0.0,CAF,,,,,1
-534.4217237948811,411.0002713213348,0.0,CAF,,,,,1
277.10310210726243,-502.0484760785023,0.0,CAF,,,,,1
-247.9163425884055,-124.3556118296102,0.0,CAF,,,,,1
-429.9928552048476,409.3090350004521,0.0,CAF,,,,,1
-499.30369901419914,-337.3618522203129,0.0,CAF,,,,,1
-79.25033915166858,-328.6072171475083,0.0,CAF,,,,,1
-452.2176901510356,-262.50972234783393,0.0,CAF,,,,,1
-202.3027041693045,-198.33227819480868,0.0,CAF,,,,,1
-61.86045039341599,-332.13891652346933,0.0,CAF,,,,,1
249.6553314642308,-498.3675499683457,0.0,CAF,,,,,1
328.2182327937053,-547.2144342950168,0.0,CAF,,,,,1
-525.6471918241838,375.9319887853848,0.0,CAF,,,,,1
-482.47092339694314,-405.7474902776522,0.0,CAF,,,,,1
42.12073799403095,542.3446685357692,0.0,CAF,,,,,1
-69.54065298001268,-195.2582074703807,0.0,CAF,,,,,1
-79.59853486479153,529.9240300262277,0.0,CAF,,,,,1
273.0839287329294,30.392511531156742,0.0,CAF,,,,,1
-207.8539386813783,545.5073799403092,0.0,CAF,,,,,1
162.457176449308,530.0036176177985,0.0,CAF,,,,,1
-545.7768834222665,484.62874197341034,0.0,CAF,,,,,1
278.9236682644479,-521.4479515239215,0.0,CAF,,,,,1
-399.42127159265624,519.5577462241113,0.0,CAF,,,,,1
-341.9192366826445,436.5677851135029,0.0,CAF,,,,,1
-197.06982002351452,-123.24138554761686,0.0,CAF,,,,,1
-540.2564891019264,-212.43917880075963,0.0,CAF,,,,,1
-206.2024961562811,-155.32513339965635,0.0,CAF,,,,,1
-341.0835669711495,364.1430767839379,0.0,CAF,,,,,1
-154.01293298363032,-49.40399746766752,0.0,CAF,,,,,1
-443.03527177353715,-232.7738084471376,0.0,CAF,,,,,1
-536.0433209731392,284.5057429682554,0.0,CAF,,,,,1
-525.9754906394139,-431.344849416659,0.0,CAF,,,,,1
-261.5258207470381,523.7858370263182,0.0,CAF,,,,,1
