x,y,z,type,is_movable
-393.8794881070815,-546.9159808266255,0.0,CAF,1
-110.3785384824094,266.0314732748485,0.0,CAF,1
-531.0487021796147,-511.7979560459437,0.0,CAF,1
-95.1375146965724,-286.18703084019165,0.0,CAF,1
-63.36216876187041,-331.402731301438,0.0,CAF,1
-269.28511350275846,-83.85547616894269,0.0,CAF,1
-266.7880528172199,-231.80880889933977,0.0,CAF,1
-473.9446052274577,417.27774260649346,0.0,CAF,1
404.14529257483935,452.4057158361219,0.0,CAF,1
227.3514063489191,-547.413403273944,0.0,CAF,1
-259.06805643483773,305.50691869404,0.0,CAF,1
-413.7564891019264,151.66410418739258,0.0,CAF,1
-331.3037442344217,348.44442434656776,0.0,CAF,1
-214.3099846251244,-161.55286244008315,0.0,CAF,1
3.769964728226455,-261.85312471737353,0.0,CAF,1
373.8622139820928,-307.40707244279645,0.0,CAF,1
42.8375237406168,77.31934521117842,0.0,CAF,1
22.930677398932858,-415.8849597540019,0.0,CAF,1
-402.3953604051732,-458.6732386723342,0.0,CAF,1
15.499186035995194,-304.3330017183684,0.0,CAF,1
489.6124174730936,-357.5174097856561,0.0,CAF,1
-516.8821108799855,388.80528172198615,0.0,CAF,1
104.60744324862073,-324.10056977480326,0.0,CAF,1
-299.21004793343593,-272.08013023424076,0.0,CAF,1
369.6241747309395,348.772723161798,0.0,CAF,1
547.5123903409605,-201.0581532061138,0.0,CAF,1
-51.33449398571048,-48.45889481776243,0.0,CAF,1
-289.0228362123542,484.8774531970696,0.0,CAF,1
-250.02491634258843,-79.20955051098855,0.0,CAF,1
-261.69444695667903,176.7242470832956,0.0,CAF,1
-241.4593017997649,-94.33119290946904,0.0,CAF,1
-178.1075789092883,193.06954870217965,0.0,CAF,1
157.93112960115752,528.2626390521841,0.0,CAF,1
-154.5496518042869,-247.9551415392964,0.0,CAF,1
311.80378945464406,-352.3044225377589,0.0,CAF,1
107.02491634258833,454.892828072714,0.0,CAF,1
161.2141177534594,153.86271140454016,0.0,CAF,1
-58.636655512345214,399.12182327937046,0.0,CAF,1
17.568463416839904,20.394320340056083,0.0,CAF,1
-465.1700732567605,-489.0160079587592,0.0,CAF,1
-121.2820385276296,-263.0469385909378,0.0,CAF,1
199.99317174640476,-431.42443700823,0.0,CAF,1
-487.09645473455737,-350.9812788278918,0.0,CAF,1
-207.39581260739808,-174.07795966356156,0.0,CAF,1
-186.9020077778783,-75.16053178981633,0.0,CAF,1
-221.22415664285072,-102.63814777968707,0.0,CAF,1
-138.6719272858823,456.8626209640952,0.0,CAF,1
-152.53011666817412,454.3954056253957,0.0,CAF,1
-16.733788550239638,78.73202496156273,0.0,CAF,1
-463.03115673329114,70.41512164239862,0.0,CAF,1
163.73107533689063,-241.0608664194627,0.0,CAF,1
187.41833227819473,195.1189291851315,0.0,CAF,1
