x,y,z,type,is_movable
-480.2891862001535,33.76817242457963,0.0,CAF,1
-435.9430858037575,140.92056524466636,0.0,CAF,1
28.73425056536439,263.73735301809677,0.0,CAF,1
-407.16223862049395,-173.78506070722244,0.0,CAF,1
431.8445662634334,222.50430326432718,0.0,CAF,1
252.54672909177634,-100.7770832158161,0.0,CAF,1
-415.71817080070633,28.781342891964584,0.0,CAF,1
-126.7001697374966,-45.61461896239621,0.0,CAF,1
-293.32769251018345,-150.94280376259994,0.0,CAF,1
-239.3450149652748,-269.8335786236733,0.0,CAF,1
-109.13225337210122,-66.80120884549444,0.0,CAF,1
333.38690405985426,-144.66713160724143,0.0,CAF,1
-332.32013893518354,-224.46631830310363,0.0,CAF,1
-254.0477350385713,-158.60646028091296,0.0,CAF,1
458.55335107628594,-233.795556056962,0.0,CAF,1
-244.86720989502945,-221.13515583201283,0.0,CAF,1
-105.78126255296826,91.48849357544435,0.0,CAF,1
-445.35163694978473,83.78518036104686,0.0,CAF,1
-394.620808483798,158.56779500223075,0.0,CAF,1
-299.9404465822595,-21.909828877937684,0.0,CAF,1
-166.95171626317693,45.813893860220446,0.0,CAF,1
-108.58697380094054,153.10508511660265,0.0,CAF,1
27.673433945106353,-130.9459147620341,0.0,CAF,1
-336.46426367600486,-82.93156997782981,0.0,CAF,1
-399.82574984487735,214.35485221898023,0.0,CAF,1
-452.5889839851903,153.1744843347504,0.0,CAF,1
-171.8096615335176,-210.47741875932655,0.0,CAF,1
-372.59151380890603,148.24713984626192,0.0,CAF,1
337.9969949796674,24.726445717333263,0.0,CAF,1
-361.67600821167105,-104.3263575153712,0.0,CAF,1
56.037885819483336,-174.7566497612906,0.0,CAF,1
-284.9700438103932,-130.98557145811856,0.0,CAF,1
455.76746817635603,195.47826488279912,0.0,CAF,1
-106.72310908497309,-15.54492915638923,0.0,CAF,1
329.49063366956057,71.47177622683625,0.0,CAF,1
-431.45196497219763,79.46260048784569,0.0,CAF,1
202.39092271901347,-145.87666083781605,0.0,CAF,1
-366.6628377442861,96.44558058599603,0.0,CAF,1
-427.9225190206847,-183.51086542192496,0.0,CAF,1
310.7330164216328,-73.47344796169708,0.0,CAF,1
425.5589799340536,80.99929746111684,0.0,CAF,1
-377.54860081945776,-13.641407744337357,0.0,CAF,1
-439.6708152356924,-145.1925828303599,0.0,CAF,1
-389.7033781693307,-186.4355467581505,0.0,CAF,1
273.4160654061992,-126.78196167317066,0.0,CAF,1
-327.1052834000831,147.89022958150224,0.0,CAF,1
452.1190521365901,209.69519042906154,0.0,CAF,1
-430.21269321955964,-128.8936807396657,0.0,CAF,1
-451.984219369903,11.738877749687674,0.0,CAF,1
-369.9444293452714,80.820842328737,0.0,CAF,1
304.3086316559577,-6.106635488298707,0.0,CAF,1
-63.219713480370785,234.17328608716605,0.0,CAF,1
133.9732077993781,-207.7113642074387,0.0,CAF,1
-418.12731508783446,-166.9740231547243,0.0,CAF,1
-332.91498937644974,162.14681182384913,0.0,CAF,1
-350.3540214795708,-128.06089012189304,0.0,CAF,1
-308.3278378041131,-145.7973474456472,0.0,CAF,1
226.95824594330804,-86.99638132648224,0.0,CAF,1
-158.86175026195633,-208.26655795262047,0.0,CAF,1
-252.9571758962499,-272.4310922172024,0.0,CAF,1
-233.71376412128797,153.56113712157338,0.0,CAF,1
253.4588331017177,-267.9994564297691,0.0,CAF,1
164.59809135056685,-120.18903594913678,0.0,CAF,1
420.44326613916417,145.3720293801419,0.0,CAF,1
-350.0665104329588,145.2629734659098,0.0,CAF,1
360.0956888727071,-257.27232013893513,0.0,CAF,1
-229.21272911570696,-171.57419990051636,0.0,CAF,1
112.35039425935145,-221.35326766047712,0.0,CAF,1
-418.8213072693117,-38.516070363286076,0.0,CAF,1
-383.9234147150273,93.20364568109517,0.0,CAF,1
367.7097745209146,-124.68015678069673,0.0,CAF,1
-173.01919076409217,-196.58766095576055,0.0,CAF,1
-294.94370287562333,-276.9717839188678,0.0,CAF,1
24.21338721174118,57.62167511935462,0.0,CAF,1
388.75756596771737,177.176699639842,0.0,CAF,1
-400.04386167334167,-259.30472581326137,0.0,CAF,1
-380.87976329054857,75.41761748723547,0.0,CAF,1
-461.4225130379935,-184.19494342938117,0.0,CAF,1
-281.9957916040621,-9.021402650503148,0.0,CAF,1
-243.39991213990606,-198.09461540696827,0.0,CAF,1
473.087530191224,216.06009015061,0.0,CAF,1
-375.77396366968026,-142.37695740836648,0.0,CAF,1
-165.97021303508768,-120.44680447368552,0.0,CAF,1
-117.7873272925246,66.276749039778,0.0,CAF,1
-110.56980860516126,-88.25548142716241,0.0,CAF,1
-98.58357221364707,39.22096813618657,0.0,CAF,1
-384.55792185237794,57.40356329089042,0.0,CAF,1
-450.6160633549908,-131.51102268123705,0.0,CAF,1
79.76250425198407,-49.5604602227954,0.0,CAF,1
-374.6536620052956,262.9541332704297,0.0,CAF,1
-484.0664865021939,105.11056868044057,0.0,CAF,1
129.95796732083124,149.16915803022448,0.0,CAF,1
227.06730185754031,-76.62615530040802,0.0,CAF,1
-473.0617533387691,-168.23312325540445,0.0,CAF,1
-414.29052974166746,-256.30073108486704,0.0,CAF,1
-366.4843826119063,-55.2313677628666,0.0,CAF,1
-480.0611601976682,-140.2751525158926,0.0,CAF,1
433.9463711559072,207.3554453600811,0.0,CAF,1
54.421875454043516,-238.2271918443953,0.0,CAF,1
103.13021241972501,-259.6219793819367,0.0,CAF,1
435.1856429085451,73.92057721004892,0.0,CAF,1
-136.37640358209364,83.76535201300482,0.0,CAF,1
114.78928106854289,-104.97077882674293,0.0,CAF,1
-437.9556631300415,215.49498223140716,0.0,CAF,1
423.4175183454953,105.01142694022946,0.0,CAF,1
340.77296370557644,-191.24392115838572,0.0,CAF,1
388.15280135243006,-113.0904873500267,0.0,CAF,1
-316.9729975505153,188.80602576659646,0.0,CAF,1
19.543811247801386,-22.157683228465316,0.0,CAF,1
-152.57616393257678,-114.13147562224259,0.0,CAF,1
-349.6501151240725,-207.96913273198737,0.0,CAF,1
-341.2032388580923,-141.56399513863602,0.0,CAF,1
-353.25887446775414,-156.08826007955267,0.0,CAF,1
143.06450537673004,-179.11888633057615,0.0,CAF,1
280.00899113023297,-263.18116785551285,0.0,CAF,1
-302.8452995704429,232.19045128294522,0.0,CAF,1
-369.46854899225843,133.00905437582594,0.0,CAF,1
-412.71417607231194,168.36299893508095,0.0,CAF,1
-437.55909616919735,-159.12199733001034,0.0,CAF,1
-428.3091718075078,-246.1387027132359,0.0,CAF,1
-100.81426136839536,272.93770650968077,0.0,CAF,1
-341.8674885175062,155.78191210230062,0.0,CAF,1
-255.5844320118424,-287.66957425459935,0.0,CAF,1
47.45221111720775,-167.27144837535747,0.0,CAF,1
-224.24572793113407,-161.05526126412553,0.0,CAF,1
107.15536707229307,202.16041817302283,0.0,CAF,1
335.7861341729614,-225.8642168400792,0.0,CAF,1
409.5376747159505,168.12505875857448,0.0,CAF,1
-360.7440758536874,-12.620247820163684,0.0,CAF,1
0.49868295326149337,50.7114958266456,0.0,CAF,1
-284.88081624420323,116.16487271397091,0.0,CAF,1
-375.93259045401794,88.39527128085996,0.0,CAF,1
-187.02791865591155,-200.01796516706236,0.0,CAF,1
-128.80197462997052,132.2456629762009,0.0,CAF,1
-12.706996842848469,-44.7124291264758,0.0,CAF,1
-232.66286167505098,55.01424735180444,0.0,CAF,1
-362.67733978780245,116.45238376058302,0.0,CAF,1
-425.3250054271556,246.61557448365102,0.0,CAF,1
-110.8573196517732,263.0334466625983,0.0,CAF,1
417.7664391534663,227.11439418414045,0.0,CAF,1
-348.55955598175115,286.54986744065593,0.0,CAF,1
-467.9658678919218,-107.77649007471524,0.0,CAF,1
-291.0276041372874,127.14977752935374,0.0,CAF,1
-391.5375003632348,229.7515644737539,0.0,CAF,1
158.4314751094405,-112.72366291124592,0.0,CAF,1
-1.0974990641361728,214.47382230723343,0.0,CAF,1
420.6812063156708,264.4115168515317,0.0,CAF,1
350.2211715476881,-252.9001693956285,0.0,CAF,1
-100.07069831681264,111.21769987744034,0.0,CAF,1
-42.15209368552587,171.23810940120103,0.0,CAF,1
-403.137083967926,120.05122893024355,0.0,CAF,1
-242.70591995842884,140.95030776672974,0.0,CAF,1
280.39564391705596,-40.687274473907735,0.0,CAF,1
99.37274046572679,-86.85758289018685,0.0,CAF,1
-433.0084902935108,-168.30252247355224,0.0,CAF,1
-224.04744445071196,-237.89010992767777,0.0,CAF,1
143.29253137921546,-248.0917949953933,0.0,CAF,1
59.87467116565051,-27.769105724409826,0.0,CAF,1
-50.162746294577516,149.4963257729209,0.0,CAF,1
-286.9925353106983,-69.47803583119236,0.0,CAF,1
50.88251532850961,204.40102150179234,0.0,CAF,1
