x,y,z,type,volume,cycle entry,custom:GFP,custom:sample,is_movable
-960.578372400307,67.53634484915926,0.0,CAF,,,,,1
-871.886171607515,281.8411304893327,0.0,CAF,,,,,1
57.46850113072878,527.4747060361935,0.0,CAF,,,,,1
-814.3244772409879,-347.5701214144449,0.0,CAF,,,,,1
863.6891325268668,445.00860652865435,0.0,CAF,,,,,1
505.0934581835527,-201.5541664316322,0.0,CAF,,,,,1
-831.4363416014127,57.56268578392917,0.0,CAF,,,,,1
-253.4003394749932,-91.22923792479241,0.0,CAF,,,,,1
-586.6553850203669,-301.8856075251999,0.0,CAF,,,,,1
-478.6900299305496,-539.6671572473466,0.0,CAF,,,,,1
-218.26450674420244,-133.6024176909889,0.0,CAF,,,,,1
666.7738081197085,-289.33426321448286,0.0,CAF,,,,,1
-664.6402778703671,-448.93263660620727,0.0,CAF,,,,,1
-508.0954700771426,-317.2129205618259,0.0,CAF,,,,,1
917.1067021525721,-467.591112113924,0.0,CAF,,,,,1
-489.7344197900589,-442.27031166402566,0.0,CAF,,,,,1
-211.56252510593652,182.9769871508887,0.0,CAF,,,,,1
-890.7032738995695,167.5703607220937,0.0,CAF,,,,,1
-789.241616967596,317.1355900044615,0.0,CAF,,,,,1
-599.880893164519,-43.81965775587537,0.0,CAF,,,,,1
-333.90343252635387,91.62778772044089,0.0,CAF,,,,,1
-217.17394760188108,306.2101702332053,0.0,CAF,,,,,1
55.34686789021271,-261.8918295240682,0.0,CAF,,,,,1
-672.9285273520097,-165.86313995565962,0.0,CAF,,,,,1
-799.6514996897547,428.70970443796045,0.0,CAF,,,,,1
-905.1779679703806,306.3489686695008,0.0,CAF,,,,,1
-343.6193230670352,-420.9548375186531,0.0,CAF,,,,,1
-745.1830276178121,296.49427969252383,0.0,CAF,,,,,1
675.9939899593348,49.452891434666526,0.0,CAF,,,,,1
-723.3520164233421,-208.6527150307424,0.0,CAF,,,,,1
112.07577163896667,-349.5132995225812,0.0,CAF,,,,,1
-569.9400876207864,-261.9711429162371,0.0,CAF,,,,,1
911.5349363527121,390.95652976559825,0.0,CAF,,,,,1
