x,y,z,type,volume,cycle entry,custom:GFP,custom:sample,is_movable
161.56009854757383,118.20898512661614,0.0,CAF,,,,,1
60.16599156553377,-157.77579633501426,0.0,CAF,,,,,1
-188.09732564736316,-422.18599862731645,0.0,CAF,,,,,1
18.2019431804207,-144.01920566846917,0.0,CAF,,,,,1
-212.52593618211466,-441.31827216427774,0.0,CAF,,,,,1
-105.28007109390188,-98.46475654702635,0.0,CAF,,,,,1
76.65009660359988,299.61348641797025,0.0,CAF,,,,,1
-370.2456944945866,-481.62597545832165,0.0,CAF,,,,,1
-209.6000571290283,-322.04158913913705,0.0,CAF,,,,,1
-360.73410801353646,419.2968170403196,0.0,CAF,,,,,1
-288.8368291802381,91.60828132872604,0.0,CAF,,,,,1
200.53875847513098,423.9980599934143,0.0,CAF,,,,,1
435.7496796410394,380.2388112401363,0.0,CAF,,,,,1
135.40571528320527,-165.35332717080394,0.0,CAF,,,,,1
254.989863564772,435.1957462677686,0.0,CAF,,,,,1
-237.06364729172702,-282.765382189232,0.0,CAF,,,,,1
292.02454961299077,-15.17142675780866,0.0,CAF,,,,,1
-484.97982631188484,-324.9377134899886,0.0,CAF,,,,,1
-192.35224806693623,311.1583108850636,0.0,CAF,,,,,1
-313.5133955669461,-64.43529542452029,0.0,CAF,,,,,1
-496.09400105530017,368.32701211214754,0.0,CAF,,,,,1
190.67011556726357,408.7140612788174,0.0,CAF,,,,,1
177.19123545490982,-248.37886463990867,0.0,CAF,,,,,1
250.22911120720778,-56.798255184260995,0.0,CAF,,,,,1
-410.1963413618132,-372.2278535751267,0.0,CAF,,,,,1
-414.8777478467514,1.6102253026052153,0.0,CAF,,,,,1
-413.85616973669073,-414.7572413027006,0.0,CAF,,,,,1
123.71211730493815,255.74513708983153,0.0,CAF,,,,,1
249.20753309714712,457.2737353259726,0.0,CAF,,,,,1
480.91731763343,-140.84537076342644,0.0,CAF,,,,,1
271.84094326373383,494.94318835519977,0.0,CAF,,,,,1
-468.9618782754968,223.15381990867292,0.0,CAF,,,,,1
-3.062750683366346,-376.26457484497803,0.0,CAF,,,,,1
-396.2314677796247,4.744387271335086,0.0,CAF,,,,,1
344.32339790764945,282.62355144191287,0.0,CAF,,,,,1
79.16932805947772,54.28596649223806,0.0,CAF,,,,,1
-99.0910930290683,309.98795926382894,0.0,CAF,,,,,1
-216.97922328325285,434.5708975208382,0.0,CAF,,,,,1
322.90001229861036,179.41440762355165,0.0,CAF,,,,,1
-196.2798687619267,372.86956331998994,0.0,CAF,,,,,1
-381.03673317173224,89.10888634100473,0.0,CAF,,,,,1
8.442400847413865,-119.10460166388305,0.0,CAF,,,,,1
-422.4949516188542,375.94421588425024,0.0,CAF,,,,,1
-380.39204795664546,-6.245016087375689,0.0,CAF,,,,,1
-4.054574091192194,-76.10905693463098,0.0,CAF,,,,,1
182.91405651806508,246.4517517585029,0.0,CAF,,,,,1
232.7730192294723,167.18522500505827,0.0,CAF,,,,,1
-456.0285010374473,36.36371751282428,0.0,CAF,,,,,1
310.38320089184765,149.6299506865402,0.0,CAF,,,,,1
69.95528860077513,-61.092850540147026,0.0,CAF,,,,,1
230.85880005236834,-21.767052419850813,0.0,CAF,,,,,1
81.60921364272929,-381.16418247963793,0.0,CAF,,,,,1
-367.4289160163612,-17.075727700834364,0.0,CAF,,,,,1
283.00887483585325,290.6374845771459,0.0,CAF,,,,,1
-59.72562197245907,290.18124580954606,0.0,CAF,,,,,1
-377.8529800326112,-106.2604885325378,0.0,CAF,,,,,1
311.71224425833407,474.29342500426486,0.0,CAF,,,,,1
-446.56650572678836,-468.72235292250684,0.0,CAF,,,,,1
451.0832695260275,266.86347749155965,0.0,CAF,,,,,1
291.5881473135471,450.4400720460523,0.0,CAF,,,,,1
