x,y,z,ecm
-540,-540,0,0.310000
-520,-540,0,4.28000
-500,-540,0,3.70500
-480,-540,0,5.25500
-460,-540,0,6.01250
-440,-540,0,7.59250
-420,-540,0,7.61500
-400,-540,0,6.64750
-380,-540,0,5.18750
-360,-540,0,5.78750
-340,-540,0,5.47000
-320,-540,0,1.95750
-300,-540,0,0.575000
-280,-540,0,0.207500
-260,-540,0,0.0450000
-240,-540,0,0.177500
-220,-540,0,0.390000
-200,-540,0,4.13250
-180,-540,0,1.74000
-160,-540,0,4.55000
-140,-540,0,6.59250
-120,-540,0,8.10250
-100,-540,0,7.96750
-80,-540,0,8.52500
-60,-540,0,7.80500
-40,-540,0,5.25750
-20,-540,0,7.34750
0,-540,0,3.22250
20,-540,0,1.85500
40,-540,0,2.66250
60,-540,0,3.75250
80,-540,0,6.53750
100,-540,0,7.41750
120,-540,0,4.69500
140,-540,0,5.52750
160,-540,0,4.87500
180,-540,0,3.07000
200,-540,0,3.24000
220,-540,0,3.85000
240,-540,0,2.23500
260,-540,0,2.73250
280,-540,0,2.81000
300,-540,0,2.01500
320,-540,0,2.26250
340,-540,0,2.31250
360,-540,0,2.27750
380,-540,0,1.82000
400,-540,0,1.46500
420,-540,0,1.52250
440,-540,0,1.06250
460,-540,0,1.48250
480,-540,0,2.23750
500,-540,0,2.74750
520,-540,0,1.30750
540,-540,0,1.39250
-540,-520,0,0.450000
-520,-520,0,6.03500
-500,-520,0,3.20500
-480,-520,0,3.21000
-460,-520,0,4.04250
-440,-520,0,6.61500
-420,-520,0,8.27000
-400,-520,0,4.75250
-380,-520,0,6.79000
-360,-520,0,6.26000
-340,-520,0,4.28250
-320,-520,0,2.58500
-300,-520,0,0.657500
-280,-520,0,0.247500
-260,-520,0,0.0750000
-240,-520,0,0.102500
-220,-520,0,0.257500
-200,-520,0,0.252500
-180,-520,0,0.735000
-160,-520,0,2.65000
-140,-520,0,3.89750
-120,-520,0,4.71250
-100,-520,0,7.11000
-80,-520,0,7.63750
-60,-520,0,2.68750
-40,-520,0,6.05250
-20,-520,0,3.91750
0,-520,0,2.70750
20,-520,0,1.82750
40,-520,0,2.77500
60,-520,0,7.50000
80,-520,0,5.02500
100,-520,0,6.09000
120,-520,0,5.97000
140,-520,0,6.63250
160,-520,0,3.63750
180,-520,0,3.72250
200,-520,0,3.02000
220,-520,0,2.78750
240,-520,0,2.83250
260,-520,0,2.42000
280,-520,0,2.35750
300,-520,0,2.66500
320,-520,0,3.38000
340,-520,0,3.06500
360,-520,0,2.25750
380,-520,0,1.41750
400,-520,0,2.12250
420,-520,0,2.17750
440,-520,0,2.26750
460,-520,0,2.30500
480,-520,0,2.53250
500,-520,0,3.30250
520,-520,0,4.08500
540,-520,0,4.89750
-540,-500,0,0.982500
-520,-500,0,8.51750
-500,-500,0,7.19000
-480,-500,0,4.60750
-460,-500,0,6.28500
-440,-500,0,8.55250
-420,-500,0,7.23750
-400,-500,0,4.75750
-380,-500,0,4.86500
-360,-500,0,6.83000
-340,-500,0,4.51500
-320,-500,0,4.50500
-300,-500,0,1.31500
-280,-500,0,0.245000
-260,-500,0,0.132500
-240,-500,0,0.0175000
-220,-500,0,0.152500
-200,-500,0,0.230000
-180,-500,0,0.272500
-160,-500,0,0.942500
-140,-500,0,1.28500
-120,-500,0,5.70750
-100,-500,0,7.33250
-80,-500,0,5.96000
-60,-500,0,5.25250
-40,-500,0,6.29000
-20,-500,0,3.49500
0,-500,0,2.14750
20,-500,0,1.67500
40,-500,0,4.91750
60,-500,0,6.44000
80,-500,0,5.07750
100,-500,0,5.32500
120,-500,0,3
140,-500,0,0.490000
160,-500,0,4.40500
180,-500,0,1.92000
200,-500,0,2.08500
220,-500,0,3.17000
240,-500,0,3.82750
260,-500,0,2.95250
280,-500,0,3.42250
300,-500,0,3.57000
320,-500,0,2.44250
340,-500,0,2.31500
360,-500,0,2.34250
380,-500,0,2.70500
400,-500,0,2.56500
420,-500,0,2.64750
440,-500,0,3.88750
460,-500,0,3.40750
480,-500,0,4.65000
500,-500,0,4.89250
520,-500,0,6.17000
540,-500,0,7.54750
-540,-480,0,1.60500
-520,-480,0,6.49250
-500,-480,0,4.65500
-480,-480,0,5.54750
-460,-480,0,7.10750
-440,-480,0,6.87750
-420,-480,0,5.76250
-400,-480,0,5.26500
-380,-480,0,5.92500
-360,-480,0,5.50500
-340,-480,0,5.62000
-320,-480,0,4.14500
-300,-480,0,1.84000
-280,-480,0,0.420000
-260,-480,0,0.150000
-240,-480,0,0.0575000
-220,-480,0,0.00250000
-200,-480,0,0.120000
-180,-480,0,0.262500
-160,-480,0,0.210000
-140,-480,0,1.94500
-120,-480,0,5.68500
-100,-480,0,6.43500
-80,-480,0,4.76500
-60,-480,0,3.91000
-40,-480,0,6.86750
-20,-480,0,3.94250
0,-480,0,2.99500
20,-480,0,1.09000
40,-480,0,3.93500
60,-480,0,7.63750
80,-480,0,4.42750
100,-480,0,1.23750
120,-480,0,2.78000
140,-480,0,3.11500
160,-480,0,4.56250
180,-480,0,2.67750
200,-480,0,3.15750
220,-480,0,3.23750
240,-480,0,2.96000
260,-480,0,2.46250
280,-480,0,3.24500
300,-480,0,2.10500
320,-480,0,2.77250
340,-480,0,1.73250
360,-480,0,1.90750
380,-480,0,3.34000
400,-480,0,4.50750
420,-480,0,4.01250
440,-480,0,3.05750
460,-480,0,3.98250
480,-480,0,5.14000
500,-480,0,5.52250
520,-480,0,6.87750
540,-480,0,5.18250
-540,-460,0,3.00750
-520,-460,0,3.82000
-500,-460,0,3.92250
-480,-460,0,4.88000
-460,-460,0,5.97250
-440,-460,0,7.35750
-420,-460,0,6.93750
-400,-460,0,5.03500
-380,-460,0,6.82000
-360,-460,0,7.47500
-340,-460,0,5.30750
-320,-460,0,6.60000
-300,-460,0,5.72250
-280,-460,0,2.86500
-260,-460,0,0.265000
-240,-460,0,0.0425000
-220,-460,0,0.0200000
-200,-460,0,0.0925000
-180,-460,0,0.355000
-160,-460,0,1.18750
-140,-460,0,4.35250
-120,-460,0,3.80500
-100,-460,0,5.74000
-80,-460,0,2.75000
-60,-460,0,5.86500
-40,-460,0,3.10500
-20,-460,0,5.10500
0,-460,0,2.34250
20,-460,0,1.21750
40,-460,0,1.87000
60,-460,0,6.37000
80,-460,0,0.990000
100,-460,0,0.777500
120,-460,0,3.33000
140,-460,0,4.95250
160,-460,0,2.69000
180,-460,0,3.76750
200,-460,0,4.36000
220,-460,0,3.27750
240,-460,0,2.46500
260,-460,0,1.94750
280,-460,0,2.39000
300,-460,0,2.91000
320,-460,0,3.24000
340,-460,0,2.93750
360,-460,0,3.19500
380,-460,0,2.64000
400,-460,0,4.12000
420,-460,0,5.09000
440,-460,0,5.04750
460,-460,0,6.93500
480,-460,0,5.51750
500,-460,0,7.58750
520,-460,0,6.10750
